"id","created_at","name","has_test","alternate_url"
"119335326","2025-04-09T14:45:39+0300","Junior","false","https://hh.ru/vacancy/119335326"
"119411323","2025-04-11T07:37:03+0300","-","false","https://hh.ru/vacancy/119411323"
"119514365","2025-04-14T18:29:27+0300","-","false","https://hh.ru/vacancy/119514365"
"119514533","2025-04-14T18:37:30+0300","-","false","https://hh.ru/vacancy/119514533"
"119892956","2025-04-24T09:22:45+0300","-","false","https://hh.ru/vacancy/119892956"
"119906328","2025-04-24T12:44:24+0300","-","false","https://hh.ru/vacancy/119906328"
"119958010","2025-04-25T13:02:01+0300","Junior","false","https://hh.ru/vacancy/119958010"
"120103301","2025-04-30T10:27:21+0300","Middle/Senior","false","https://hh.ru/vacancy/120103301"
"118570463","2025-04-30T13:29:58+0300","Junior","false","https://hh.ru/vacancy/118570463"
"120170331","2025-05-02T14:11:18+0300","Junior/Middle","false","https://hh.ru/vacancy/120170331"
"120199596","2025-05-05T07:59:02+0300","-","false","https://hh.ru/vacancy/120199596"
"120210942","2025-05-05T10:06:58+0300","-","false","https://hh.ru/vacancy/120210942"
"120228853","2025-05-05T13:30:52+0300","-","false","https://hh.ru/vacancy/120228853"
"120240958","2025-05-05T16:11:44+0300","-","false","https://hh.ru/vacancy/120240958"
"119546574","2025-05-05T22:40:40+0300","-","false","https://hh.ru/vacancy/119546574"
"120262389","2025-05-06T09:19:43+0300","-","false","https://hh.ru/vacancy/120262389"
"120283699","2025-05-06T14:17:53+0300","Junior","false","https://hh.ru/vacancy/120283699"
"120325659","2025-05-07T14:31:10+0300","Junior","false","https://hh.ru/vacancy/120325659"
"120338244","2025-05-07T19:30:14+0300","-","false","https://hh.ru/vacancy/120338244"
"120220633","2025-05-08T11:48:48+0300","Middle","false","https://hh.ru/vacancy/120220633"
